,,,,,,,,Actual Azure Consumption,,,,
Application Name,R-Lane Disposition,Migration Phase,Planned Migration Start,Planned Migration End,Migration Status,Actual Migration Start,Actual Migration End,2022,2023,2024,2025,2026
Avengers,REPLATFORM,Phase 1,Q3 2022,Q1 2023,Completed,Q3 2022,Q3 2023,"$2,00,000","$6,00,000","$7,00,000",,
BreakingBad,REHOST,Phase 1,Q3 2022,Q1 2023,Completed,Q3 2022,Q2 2023,"$60,000","$90,000","$1,20,000",,
Dexter,REHOST,Phase 1,Q3 2022,Q1 2023,Completed,Q3 2022,Q2 2023,"$1,00,000","$5,00,000","$6,00,000",,
Manifest,REARCHITECT,Phase 2,Q2 2023,Q4 2024,In progress,Q4 2023,Q3 2025,,"$10,000","$4,00,000",,
MoneyHeist,REPLATFORM,Phase 2,Q2 2023,Q4 2024,Completed,Q4 2023,Q3 2024,,"$50,000","$5,00,000",,
Ozark,REARCHITECT,Phase 2,Q2 2023,Q4 2024,Pipeline,Q1 2025,-,,,,,
StarWars,REHOST,Phase 3,Q1 2025,Q2 2025,Pipeline,-,-,,,,,
,,,,,,,,"$3,60,000","$12,50,000","$23,20,000",$0,$0
,,,,,,,,,,,,"$39,30,000"
